participant,area,advisor,caffeine_mg,tiktok_min,hours_contemplating_other_paths,selfcare_score
1,Developmental,L,233.18362045431763,18.368579781795432,3.258134330089625,7.6128024837470445
2,Cognitive,I,244.77354666105424,50.49667524236881,6.636970112681724,6.413338723101706
3,Social,B,247.31327052359467,9.831842849432446,3.713523109631523,7.0559849500027045
4,Clinical,L,342.9176434963454,61.24254840506735,10.071822666731672,4.604700239298884
5,Developmental,C,207.53788307040813,32.24936224693785,2.961404274553811,5.595966583877229
6,Cognitive Neuroscience,J,296.10053613325374,47.9641190692278,4.733401222487899,5.597343455489073
7,Social,E,264.94059920280694,13.996825329713765,4.900655152748062,7.84457569784613
8,Cognitive,A,264.9372545601103,25.944743984007374,5.7529000470158795,5.206539560455423
9,Developmental,B,218.30433642182274,28.80531389742829,3.225450852144258,5.68250400150301
10,Cognitive,L,249.89308803742634,35.867030895639466,6.645534068113063,6.247232454102926
11,Cognitive,H,220.4489071840146,45.079990963925326,5.814815627590745,5.585575681414656
12,Cognitive Neuroscience,E,331.4575211454046,65.92297487713635,4.615726004755384,7.3949393233060325
13,Social,H,246.1211984271804,28.50228273143688,3.5185562395594223,6.7286324861546145
14,Clinical,I,278.81492234529094,52.42084429296717,10.694002116965937,5.506710215955107
15,Clinical,C,386.84205692599176,58.99010534743964,7.840043797143282,4.077855156557995
16,Cognitive Neuroscience,F,337.0766808873552,55.75848152670772,6.062264443596211,6.4299566806656685
17,Clinical,K,269.64978747289,57.81687257377595,8.669218419344002,5.245850481070824
18,Cognitive,B,266.35409981052015,37.917783202732146,5.200911508519121,4.552091565494447
19,Social,I,282.1817928217576,18.634583415996325,3.4912622028064493,6.482780993612521
20,Social,G,232.3648123255501,11.185032421435773,2.5622884994787376,6.604013139012289
