participant,area,advisor,caffeine_mg,tiktok_min,hours_contemplating_other_paths,selfcare_score
1,Developmental,L,183.86460398142745,27.4922748491292,0.8134291092927599,7.177286339949038
2,Cognitive,I,242.36329046295378,23.061404964577576,3.436847828822395,6.704784331953133
3,Social,B,242.7384208412367,14.936823339726963,1.6884122019654537,5.517852560848606
4,Clinical,L,279.73676819670055,41.7496650898742,6.722951322514943,5.499345803148425
5,Developmental,C,210.0441338043291,25.432867383330848,2.2953432569691663,5.805169555429749
6,Cognitive Neuroscience,J,283.3452575180261,42.98695004571947,4.600758011725643,6.14155506098467
7,Social,E,199.20528021420162,17.98273089254984,4.072489732525994,7.495713848889264
8,Cognitive,A,208.0756961393268,29.910191295571373,5.413673227162171,6.041901460760171
9,Developmental,B,197.57301998800148,34.529052645053746,1.3159543399245799,7.032429353536417
10,Cognitive,L,213.71481353638646,28.642326113471242,4.9314997026120935,7.539933003438074
11,Cognitive,H,238.36036071904795,37.24150840233274,4.351334998559537,7.013767252551514
12,Cognitive Neuroscience,E,290.49332499056055,39.14867246973768,5.78364901816714,6.123335544310225
13,Social,H,234.60448304680355,42.01287404686692,5.224905715868239,7.266877240691046
14,Clinical,I,295.26000265412677,66.98532921658233,5.990592508854669,5.633917065717702
15,Clinical,C,295.3042913819823,37.79704195349341,5.678536709346851,5.265612183017832
16,Cognitive Neuroscience,F,285.50432393243085,33.820553824379004,3.1718859344364585,6.315139838392334
17,Clinical,K,308.5531459699792,33.19326340801177,8.001121338358235,6.418698664570151
18,Cognitive,B,222.27891255673774,31.194152300565783,5.897497287522139,5.465091857017732
19,Social,I,227.12752588623184,30.28434385820328,3.4352316465946795,6.354340371402724
20,Social,G,204.96471019333097,28.152120642799336,4.665645538780876,7.749356182044151
