participant,area,advisor,caffeine_mg_S1,tiktok_min_S1,hours_contemplating_other_paths_S1,selfcare_score_S1,caffeine_mg_S2,tiktok_min_S2,hours_contemplating_other_paths_S2,selfcare_score_S2,caffeine_mg_S3,tiktok_min_S3,hours_contemplating_other_paths_S3,selfcare_score_S3
1,Developmental,L,183.74069154198753,35.40918351110995,3.638374307448402,6.528845425863118,183.86460398142745,27.49227485,0.8134291092927599,7.177286339949038,233.18362045431763,18.368579781795432,3.258134330089625,7.6128024837470445
2,Cognitive,I,193.33980814543102,26.360963691164635,5.002625053052732,5.935383890905322,242.36329046295378,23.061404964577576,3.436847828822395,6.704784331953133,244.77354666105424,50.49667524236881,6.636970112681724,6.413338723101706
3,Social,B,200.85547524968783,41.00579819,2.969464665176541,8.203848193589767,242.7384208412367,14.936823339726963,1.6884122019654537,5.517852560848606,247.31327052359467,9.831842849432446,3.713523109631523,7.0559849500027045
4,Clinical,L,268.17852586060314,10.459042327914005,4.2897504385338285,7.104568886609698,279.73676819670055,41.74966509,6.722951322514943,5.499345803148425,342.9176434963454,61.24254840506735,10.071822666731672,4.604700239298884
5,Developmental,C,202.21136003010065,32.57254333963236,4.2319190422030895,7.731109976814783,210.0441338043291,25.432867383330848,2.2953432569691663,5.805169555429749,207.53788307040813,32.24936224693785,2.961404274553811,5.595966583877229
6,Cognitive Neuroscience,J,219.2559966846631,32.87753629,3.354543227054813,5.947971481894402,283.3452575180261,42.98695004571947,4.600758011725643,6.141555061,296.10053613325374,47.96411907,4.733401222487899,5.597343455489073
7,Social,E,184.4071723458791,38.265547153519314,2.498163275,6.561974342597634,199.20528021420162,17.98273089254984,4.072489732525994,7.495713848889264,264.94059920280694,13.996825329713765,4.900655152748062,7.844575698
8,Cognitive,A,204.43009795005375,38.15477825644966,3.801116342341817,7.299843895689202,208.0756961393268,29.910191295571373,5.413673227162171,6.041901460760171,264.9372545601103,25.944743984007374,5.7529000470158795,5.206539560455423
9,Developmental,B,169.5203401798722,19.008385654859918,2.950012597653458,7.257781957886327,197.57301998800148,34.529052645053746,1.3159543399245799,7.032429353536417,218.30433642182274,28.80531389742829,3.225450852144258,5.682504002
10,Cognitive,L,237.64584902104482,34.813002002877084,3.7311116833042046,5.980752598492469,213.71481353638646,28.642326113471242,4.9314997026120935,7.539933003438074,249.89308803742634,35.867030895639466,6.645534068113063,6.247232454102926
11,Cognitive,H,195.29129369910822,15.618710297474614,4.061130859415534,6.840639971184431,238.36036071904795,37.24150840233274,4.351334998559537,7.013767252551514,220.4489071840146,45.079990963925326,5.814815627590745,5.585575681414656
12,Cognitive Neuroscience,E,215.71692101683726,44.80842969136552,2.9263499207860084,7.046019290153038,290.49332499056055,39.14867246973768,5.783649018,6.123335544310225,331.4575211454046,65.92297487713635,4.615726004755384,7.3949393233060325
13,Social,H,228.84913691841496,39.15748692,2.6904647311579972,7.377491510589526,234.60448304680355,42.01287404686692,5.224905715868239,7.266877240691046,246.1211984271804,28.50228273143688,3.5185562395594223,6.7286324861546145
14,Clinical,I,228.14291908138972,42.216144325556286,4.943519670796176,6.9829110279385365,295.26000265412677,66.98532921658233,5.990592508854669,5.633917065717702,278.81492234529094,52.42084429296717,10.694002116965937,5.506710215955107
15,Clinical,C,243.52202383406683,29.667519451267292,3.6396086872438005,4.980343628010685,295.3042913819823,37.79704195349341,5.678536709346851,5.265612183017832,386.84205692599176,58.99010534743964,7.840043797143282,4.077855156557995
16,Cognitive Neuroscience,F,236.6666704,33.52592552102829,4.867212098289338,6.868195545,285.50432393243085,33.820553824379004,3.1718859344364585,6.315139838392334,337.0766808873552,55.75848152670772,6.062264443596211,6.4299566806656685
17,Clinical,K,302.5650735213732,30.46014429,6.061215671,6.603300141527215,308.5531459699792,33.19326340801177,8.001121338358235,6.418698664570151,269.6497875,57.81687257377595,8.669218419344002,5.245850481070824
18,Cognitive,B,214.35894896331044,39.98228401685214,3.8288879234231197,6.570731870887857,222.27891255673774,31.194152300565783,5.897497287522139,5.465091857017732,266.35409981052015,37.917783202732146,5.200911508519121,4.552091565494447
19,Social,I,173.84123099131773,46.123190421811515,2.107095735276987,7.669076016456312,227.12752588623184,30.28434385820328,3.4352316465946795,6.354340371402724,282.1817928217576,18.634583415996325,3.4912622028064493,6.482780993612521
20,Social,G,198.48464628660943,34.40124455611438,3.100171128027946,5.630192215,204.96471019333097,28.152120642799336,4.665645538780876,7.749356182044151,232.3648123255501,11.185032421435773,2.5622884994787376,6.604013139012289
