Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Finland,Western Europe,7.80870008468628,0.0311563052237034,7.86976623535156,7.747633934021,10.6392669677734,0.9543297290802,71.9008255004883,0.94917219877243,-0.0594820193946362,0.195444583892822,1.97231674194336,1.28518950939178,1.49952590465546,0.961271405220032,0.662316739559174,0.159670442342758,0.477857261896133,2.76283502578735
Denmark,Western Europe,7.64559984207153,0.0334922857582569,7.71124458312988,7.57995510101318,10.774001121521,0.955990791320801,72.4025039672852,0.951444268226624,0.066201776266098,0.168489456176758,1.97231674194336,1.32694852352142,1.50344920158386,0.979332566261292,0.665039896965027,0.242793396115303,0.495260328054428,2.43274068832397
Switzerland,Western Europe,7.55989980697632,0.035014171153307,7.62852764129639,7.49127197265625,10.9799327850342,0.942846596240997,74.1024475097656,0.921336650848389,0.105911038815975,0.303728431463242,1.97231674194336,1.39077425003052,1.47240340709686,1.04053318500519,0.628954470157623,0.269055753946304,0.407945901155472,2.35026741027832
Iceland,Western Europe,7.50449991226196,0.0596158616244793,7.62134695053101,7.38765287399292,10.7725591659546,0.974669575691223,73,0.948891878128052,0.246944218873978,0.71170973777771,1.97231674194336,1.3265016078949,1.547567486763,1.00084340572357,0.661980748176575,0.362330228090286,0.144540771842003,2.46068811416626
Norway,Western Europe,7.48799991607666,0.0348373837769032,7.55628108978272,7.41971874237061,11.0878038406372,0.952486574649811,73.2007827758789,0.955750286579132,0.134532630443573,0.263218194246292,1.97231674194336,1.42420732975006,1.49517250061035,1.00807189941406,0.670200884342194,0.28798508644104,0.434100568294525,2.16826629638672
Netherlands,Western Europe,7.44890022277832,0.0277917496860027,7.50337219238281,7.39442825317383,10.8127117156982,0.939138829708099,72.3009185791016,0.908547818660736,0.207612439990044,0.364717125892639,1.97231674194336,1.33894634246826,1.46364593505859,0.975675344467163,0.613626480102539,0.33631756901741,0.368569761514664,2.35211706161499
Sweden,Western Europe,7.35349988937378,0.0362341962754726,7.42451906204224,7.28248071670532,10.7587938308716,0.926311194896698,72.6007690429688,0.939144194126129,0.111614622175694,0.250880181789398,1.97231674194336,1.32223522663116,1.43334770202637,0.986470460891724,0.650297701358795,0.27282789349556,0.442066371440887,2.24629926681519
New Zealand,North America and ANZ,7.29960012435913,0.0394654683768749,7.37695264816284,7.22224760055542,10.5009431838989,0.949118971824646,73.2026290893555,0.936217486858368,0.191598072648048,0.221138849854469,1.97231674194336,1.24231791496277,1.48721837997437,1.00813829898834,0.646789908409119,0.325726211071014,0.461268275976181,2.12810802459717
Austria,Western Europe,7.29419994354248,0.0333651639521122,7.35959577560425,7.22880411148071,10.742823600769,0.928045868873596,73.0025024414063,0.899989485740662,0.0854292213916779,0.499954879283905,1.97231674194336,1.31728553771973,1.43744492530823,1.00093352794647,0.603368878364563,0.25550976395607,0.281256139278412,2.39844608306885
Luxembourg,Western Europe,7.23750019073486,0.0308517944067717,7.29796981811523,7.17703056335449,11.4506807327271,0.906912207603455,72.5999984741211,0.905636429786682,-0.0046205879189074,0.367084294557571,1.97231674194336,1.53667604923248,1.38752841949463,0.986442685127258,0.610137045383453,0.195953920483589,0.3670414686203,2.15370035171509
